company name,start,end
TCW,1997-08,1999-03
Investlogic Systems,1999-03,1999-08
Investor Force,1999-08,2000-06
Universal Studios,2000-07,2001-01
Martin Progressive,2001-03,2002-03
UCLA MCCS,2002-03,2009-06
William O’Neil,2009-11,2010-03
Amgen,2010-03,2011-02
Surge Consulting,2011-02,2011-05
Security Frameworks,2011-07,2011-10
20th Century Fox,2011-11,2013-08
PIMCO,2013-08,2014-11
Fujitsu Ten,2014-11,2015-02
Cetera,2015-05,2018-08
ProSearch,2018-12,2020-01
Wescom Credit Union,2020-07,2021-01
Rev.io,2021-03,2022-03
CTM,2022-04,2026-04
