skill,TCW,Investlogic Systems,Investor Force,Universal Studios,Martin Progressive,UCLA MCCS,William O’Neil,Amgen,Surge Consulting,Security Frameworks,20th Century Fox,PIMCO,Fujitsu Ten,Cetera,ProSearch,Wescom Credit Union,Rev.io,CTM
Dapper,,,,,,,,,,,,,,,,,,4
BenchmarkDotNet,,,,,,,,,,,,,,,,,,4
.NET (Core),,,,,,,,,,,,,,,,,1,4
 Jupyter Notebook (Python),,,,,,,,,,,,,,,,,1,4
Temenos,,,,,,,,,,,,,,,,0.5,,
Specflow,,,,,,,,,,,,,,,,,1,
VB.NET,,,,,,,,,,,,,,,,,1,
Elasticsearch,,,,,,,,,,,,,,,1,,,
Typescript,,,,,,,,,,,,,,,1,0.5,,
Node.js,,,,,,,,,,,,,,,1,0.5,,
Angular,,,,,,,,,,,,,,,1,0.5,,
Azure Functions,,,,,,,,,,,,,,,1,,1,4
Azure Service Bus,,,,,,,,,,,,,,,1,,,
xUnit.net,,,,,,,,,,,,,,,1,,,4
Azure DevOps,,,,,,,,,,,,,,,1,,,
NuGet (packaging),,,,,,,,,,,,,,3.25,,,,4
DocuSign SDK,,,,,,,,,,,,,,3.25,,,,
Odata,,,,,,,,,,,,,,3.25,,,,
ActiveBatch,,,,,,,,,,,,,,3.25,,,,
PL/SQL (Oracle),,,,,,,,,,,,,,3.25,,,,
ASP.NET Web API,,,,,,,,,,,,,,3.25,,,,
Git,,,,,,,,,,,,,,3.25,1,0.5,,4
JIRA,,,,,,,,,,,1.75,,,,,,1,4
Entity Framework,,,,,,,,,,,1.75,1.25,,,,,,4
Blender (3D),,,,,,,,,,0.25,,,,,,,,
Sony Sound Forge,,,,,,,,,,,,,0.25,,1,,,
Moq,,,,,,,,1,,,,,,,1,,,4
jQuery,,,,,,,,1,0.24,,1.75,,,,,,1,4
Silverlight,,,,,,,,1,,0.25,1.75,,,,,,,
Vmware,,,,,,,,1,,,,,,,,,,
PowerShell,,,,,,,0.33,1,0.24,,,,,,1,,,4
Microsoft Dynamics,,,,,,,,1,,,,,,,,,,
TFS,,,,,,,0.33,,0.24,0.25,1.75,,,,,,,
WPF (MVVM),,,,,,7.25,0.33,,,,,1.25,0.25,,,,,
WinForms,,,,,,7.25,,,,,,,,,,,,
C#,,,,,,7.25,0.33,1,0.24,0.25,1.75,1.25,0.25,3.25,1,0.5,1,4
.NET Framework,,,,,1,7.25,0.33,1,0.24,0.25,1.75,1.25,0.25,3.25,1,0.5,1,
SharePoint,,,,,,7.25,,,,,,,,,,,,
ASP.NET MVC,,,,,,,,1,0.24,0.25,,,,,,,,
ASP.NET,,,,,1,7.25,,1,0.24,0.25,,,,3.25,,,,
bash,,,,,,7.25,,,,,,,,,,,,
XSLT (Xpath),,,,,,7.25,,,,,,,,,,,,
YUI,,,,,,7.25,0.33,,,,,,,,,,,
WCF,,,,,,7.25,,1,,,,,,,,0.5,,
Apache POI,,,,,,7.25,,,,,,,,,,,,
Java,,,,,,7.25,,,,,,,,,,,,
PHP (Zend MVC),,,,,,7.25,,,,,1.75,,,,,,,
SmartRules,,,,0.5,,,,,,,,,,,,,,
ASP (VBScript),,,0.84,0.5,1,7.25,,,,,,,,,,,,
JavaScript,,,0.84,0.5,1,7.25,,1,0.24,0.25,1.75,,,,1,0.5,1,4
HTML/CSS,,,0.84,0.5,1,7.25,,1,0.24,0.25,1.75,,,,1,0.5,1,4
T-SQL (SQL server),,,0.84,,1,7.25,0.33,,0.24,0.25,,,,,,,1,4
Crystal Reports,1.58,0.42,0.84,,,,,,,,,,,,,,,
VB6,,0.42,,,,,,,,,,,,,,,,
Sybase,,0.42,,,,,,,,,,,,,,,,
Microsoft Excel,1.58,0.42,0.84,0.5,1,7.25,0.33,1,0.24,0.25,1.75,1.25,0.25,3.25,,,,
MS-SQL,1.58,,,,,,,,,,,,,,,,,
Microsoft Access,1.58,,,,,,,,,,,,,,,,,
VBA,1.58,,,,,,,,,,,,,,,,,
